Plate,BusCoach,City
121ASV,C,Dundee
4464RU,C,Dundee
A8TPT,C,Dundee
AA14ALS,C,Dundee
AS62JDS,C,Dundee
B10SBP,C,Dundee
BK10MGE,B,Dundee
BO55CTT,C,Dundee
BT15KNE,C,Dundee
BU06CWT,B,Dundee
BU06CWV,B,Dundee
BU06CWW,B,Dundee
BU06CXA,B,Dundee
BU06CXD,B,Dundee
BU06CXE,B,Dundee
BU06CXG,B,Dundee
BU06CXH,B,Dundee
BU06CXJ,B,Dundee
BU06CXK,B,Dundee
BU06CXL,B,Dundee
BU06CXM,B,Dundee
BU16HBO,C,Dundee
BX54XPO,B,Dundee
BX54XPP,B,Dundee
BX54XTA,B,Dundee
BX54XTB,B,Dundee
BX54XTD,B,Dundee
BX56XCT,B,Dundee
BX56XCU,B,Dundee
BX56XCY,B,Dundee
BX56XCZ,B,Dundee
BX56XDA,B,Dundee
BX56XDB,B,Dundee
BX56XDC,B,Dundee
BX56XDD,B,Dundee
BX56XDG,B,Dundee
BX56XDH,B,Dundee
BX56XDJ,B,Dundee
CN05FVW,C,Dundee
E5ATD,C,Dundee
E7ATD,C,Dundee
E8ATD,C,Dundee
ESK986,C,Dundee
F2LNE,C,"Dundee, Edinburgh"
FJ57KJF,C,Dundee
FJ60HXU,C,Dundee
H3KFC,C,Dundee
HSK648,C,Dundee
HSK791,B,Dundee
HY14BUS,B,Dundee
JSU542,C,Dundee
KSK982,C,Dundee
KSK983,C,Dundee
KX15GBU,C,Dundee
KX51UCS,B,Dundee
LSK481,C,"Aberdeen, Edinburgh, Dundee"
LSK832,C,Dundee
LSK873,C,"Dundee, Edinburgh"
LSK874,C,Dundee
LSK876,C,"Dundee, Edinburgh"
LSK878,C,Dundee
M17YNE,C,Dundee
M688TDB,B,Dundee
M77GEC,C,Dundee
MX13BMO,C,Dundee
MX15KKU,C,Dundee
OU14SVK,C,Dundee
PO63FMY,C,Dundee
PSU619,C,"Aberdeen, Dundee"
PX05ELW,B,Dundee
PX05EMK,B,Dundee
PYJ136,C,Dundee
RE12JAK,C,Dundee
S77SBN,C,Dundee
SA15VML,B,Dundee
SA15VTU,B,Dundee
SA15VTV,B,Dundee
SA15VTW,B,Dundee
SA15VTX,B,Dundee
SA15VTY,B,Dundee
SA15VTZ,B,Dundee
SA15VUX,B,Dundee
SA15VUY,B,Dundee
SF04VTE,B,Dundee
SF08GTU,C,"Dundee, Edinburgh"
SF08MYP,B,Dundee
SF13FME,C,"Aberdeen, Dundee"
SF17VMT,B,Dundee
SF17VMU,B,Dundee
SF17VMV,B,Dundee
SF17VMW,B,Dundee
SF17VMX,B,Dundee
SF17VMY,B,Dundee
SF17VMZ,B,Dundee
SF17VNZ,B,Dundee
SF53BYN,B,Dundee
SF59BXM,C,Dundee
SF62CUA,B,"Aberdeen, Dundee"
SJ15PUX,B,"Aberdeen, Dundee"
SJ15PUY,B,Dundee
SJ15PVE,B,Dundee
SJ15PVF,B,Dundee
SJ15PVK,B,Dundee
SJ15PVL,B,"Aberdeen, Dundee"
SJ15PVN,B,Dundee
SJ15PVO,B,Dundee
SJ16CUG,C,Dundee
SJ16ZZM,C,Dundee
SL14LSZ,B,Dundee
SN11BWH,B,Dundee
SN13DDE,C,Dundee
SN15CCJ,C,Dundee
SN15CCY,C,Dundee
SN17BKV,C,Dundee
SN54DBO,C,Dundee
SN61DCF,B,Dundee
SN64OFR,B,Dundee
SN64OGA,B,Dundee
SN65OMB,B,Dundee
SN65OME,B,Dundee
SN66WHL,B,Dundee
SN66WHR,B,Dundee
SP03GDK,B,Dundee
SP05CZX,B,Dundee
SP05FKK,B,Dundee
SP06FCF,B,Dundee
SP06FCJ,B,Dundee
SP08DCY,B,Dundee
SP08FPG,C,Dundee
SP12CFU,B,Dundee
SP12CFV,B,Dundee
SP12CFX,B,Dundee
SP12CFY,B,Dundee
SP12CFZ,B,Dundee
SP12DAA,B,Dundee
SP12DAO,B,Dundee
SP12DBO,B,Dundee
SP12DBU,B,Dundee
SP12DBV,B,Dundee
SP13BRX,B,Dundee
SP13BRZ,B,Dundee
SP13BSO,B,Dundee
SP13BSU,B,Dundee
SP13BSX,B,Dundee
SP13BSY,B,Dundee
SP13BSZ,B,Dundee
SP13BTE,B,Dundee
SP54CGG,B,Dundee
SP54CGK,B,Dundee
SP54CGO,B,Dundee
SP54CGU,B,Dundee
SP54CGV,B,Dundee
SP54CGX,B,Dundee
SP54CGY,B,Dundee
SP54CGZ,B,Dundee
SP54CHC,B,Dundee
SP54CHD,B,Dundee
SP54CHF,B,Dundee
SP54CHG,B,Dundee
SP54CHH,B,Dundee
SP54CHJ,B,Dundee
SP54CHK,B,Dundee
SP54CHL,B,Dundee
SP54CHN,B,Dundee
SP57COJ,B,Dundee
SP57COU,B,Dundee
SP57CPE,B,Dundee
SP58AZC,B,Dundee
SP58BYY,B,Dundee
SP59AON,B,Dundee
SP59AOO,B,"Aberdeen, Dundee"
SP59AOV,B,Dundee
SP59AOY,B,Dundee
SP59AOZ,B,Dundee
SP59APU,B,Dundee
SP59CTO,B,Dundee
SP60DYC,B,Dundee
SP60DYD,B,Dundee
SP61CSY,B,Dundee
SP61CSZ,B,Dundee
SP61CTE,B,Dundee
SP61CTF,B,Dundee
SP61CTK,B,Dundee
SP61CTO,B,Dundee
SP61CTU,B,Dundee
SP61CTV,B,Dundee
SP61CTX,B,Dundee
SP61CTY,B,Dundee
SP61CTZ,B,Dundee
SP61CUA,B,Dundee
SP61CUC,B,Dundee
SP61CUG,B,Dundee
SP61CUH,B,Dundee
SP61CUJ,B,Dundee
SP61CUK,B,Dundee
SP61CUO,B,Dundee
SP61CUU,B,Dundee
SP61CUV,B,Dundee
SP61CUW,B,Dundee
SP61CWZ,C,Dundee
SP61CXB,C,Dundee
SP62BHX,B,Dundee
SP62BJJ,B,Dundee
SP62BJX,B,Dundee
SP62BKA,B,Dundee
SP62BKF,B,Dundee
SP62BMY,C,Dundee
SP62BNB,C,Dundee
SP62BOH,B,Dundee
SP62BRV,B,Dundee
SP62BSO,B,Dundee
SP62BTX,B,Dundee
SP62BUO,B,Dundee
SP62BVZ,B,Dundee
SP62CFE,C,Dundee
SP62CFM,C,Dundee
SP62CGY,C,Dundee
SP62CHK,C,Dundee
ST52NTM,B,Dundee
SV12BZN,C,Dundee
SV12CJU,B,Dundee
SV55BZX,B,Dundee
SV55CCK,B,Dundee
SV59CHC,C,Dundee
SV60CCO,B,Dundee
SV60CCX,B,Dundee
SV62BBK,C,Dundee
SV62BFF,C,Dundee
SW09UMB,C,Dundee
SW09UNS,C,"Aberdeen, Dundee"
UAP969,C,Dundee
US60LFS,B,Dundee
V426MOA,B,Dundee
V76MOA,B,Dundee
